image	original_caption	shuffle_noun_and_adjectives	shuffle_trigrams	shuffle_words_within_trigrams
test/1007129816.jpg	the man with pierced ears is wearing glasses and an orange hat 	the glasses with pierced hat is wearing man and an orange ears	an orange hat pierced ears is wearing glasses and the man with	with man the ears is pierced wearing glasses and an orange hat
test/1007129816.jpg	a man with glasses is wearing a beer can crocheted hat 	a man with glasses is wearing a beer can crocheted hat	a beer can crocheted hat a man with glasses is wearing	with a man is glasses wearing a beer can crocheted hat
test/1007129816.jpg	a man with gauges and glasses is wearing a blitz hat 	a man with gauges and hat is wearing a glasses blitz	gauges and glasses is wearing a blitz hat a man with	a with man and glasses gauges is wearing a hat blitz
test/1007129816.jpg	a man in an orange hat starring at something 	a hat in an orange man starring at something	starring at something a man in an orange hat	in a man hat an orange starring at something
test/1007129816.jpg	a man wears an orange hat and glasses 	a man wears an orange glasses and hat	an orange hat a man wears and glasses	a wears man an orange hat and glasses
test/1009434119.jpg	a black and white dog is running in a grassy garden surrounded by a white fence 	a grassy and white fence is running in a black dog surrounded by a white garden	fence running in a grassy garden surrounded a black and by a white white dog is	and black a dog is white running a in surrounded grassy garden a by white fence
test/1009434119.jpg	a boston terrier is running on lush green grass in front of a white fence 	a boston fence is running on lush white grass in terrier of a green front	a white fence in front of lush green grass a boston terrier is running on	a boston terrier is running on grass lush green in front of white fence a
test/1009434119.jpg	a black and white dog is running through the grass 	a black and white dog is running through the grass	grass white dog is a black and running through the	black and a is dog white through running the grass
test/1009434119.jpg	a dog runs on the green grass near a wooden fence 	a fence runs on the green grass near a wooden dog	a dog runs on the green grass near a wooden fence	a runs dog green on the grass a near wooden fence
test/1009434119.jpg	a boston terrier is running in the grass 	a boston terrier is running in the grass	a boston terrier the grass is running in	boston terrier a in is running grass the
test/101362133.jpg	a young female student performing a downward kick to break a board held by her karate instructor 	a young female instructor performing a karate kick to break a board held by her downward student	a young female karate instructor break a board held by her student performing a downward kick to	young a female student performing a kick downward to break a board held her by instructor karate
test/101362133.jpg	girl about to kick a piece of wood in half while karate instructor holds it	piece about to kick a instructor of girl in wood while karate half holds it	of wood in kick a piece half while karate girl about to instructor holds it	girl about to kick a piece wood of in half while karate instructor holds it
test/101362133.jpg	a girl kicking a stick that a man is holding in tae kwon do class 	a stick kicking a kwon that a tae is holding in girl class do man	a man is a stick that holding in tae a girl kicking kwon do class	girl a kicking that stick a a is man in tae holding do class kwon
test/101362133.jpg	a girl in karate uniform breaking a stick with a front kick 	a kick in karate stick breaking a girl with a front uniform	karate uniform breaking a stick with a girl in a front kick	girl in a uniform breaking karate stick a with a kick front
test/101362133.jpg	a girl breaking boards by using karate 	a boards breaking girl by using karate	a girl breaking boards by using karate	a girl breaking using by boards karate
test/102617084.jpg	five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat 	five white front all wearing snow and pants line up in a blue forest in a snowmobiles in riders of their clearing ; they are all wearing snowmobile coat coat and from left to right they are wearing a black goggles , black coat , black coat , red helmets , and snowy coat	snowy clearing in white coat , and from left are wearing a snowmobiles ; they front of their five snowmobile riders a forest in red coat , to right they blue coat , black snow pants and black coat are all wearing all wearing helmets and goggles line up in a black coat ,	snowmobile five riders wearing helmets all and line goggles up in a in clearing snowy in a forest their of front snowmobiles they ; all are wearing black pants snow and from left right they to are a wearing , coat black , white coat coat red , , blue coat coat and black
test/102617084.jpg	five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background 	five jackets wearing winter helmets and people stand in the background , with snow in the snowmobiles	with snowmobiles in helmets stand in the background winter jackets and five people wearing the snow ,	people five wearing and winter jackets stand in helmets the , snow in with snowmobiles the background
test/102617084.jpg	five people wearing winter clothing , helmets , and ski goggles stand outside in the snow 	five helmets wearing snow people , ski , and winter clothing stand outside in the goggles	winter clothing , five people wearing outside in the ski goggles stand helmets , and snow	five wearing people clothing winter , helmets , and ski goggles stand the in outside snow
test/102617084.jpg	a group of snowmobile riders gather in the snow 	a group of snowmobile riders gather in the snow	snowmobile riders gather a group of in the snow	group of a snowmobile riders gather snow the in
test/102617084.jpg	group gathered to go snowmobiling 	group gathered to go snowmobiling	go snowmobiling group gathered to	group gathered to snowmobiling go
test/10287332.jpg	two men sitting on the roof of a house while another one stands on a ladder 	two roof sitting on the one of a ladder while another men stands on a house	stands on a two men sitting ladder of a house while another one on the roof	men two sitting the on roof a of house while one another a on stands ladder
test/10287332.jpg	two men on a rooftop while another man stands atop a ladder watching them	two man on a ladder while another rooftop stands atop a men watching them	two men on watching them a rooftop while atop a ladder another man stands	two on men a rooftop while another man stands atop ladder a watching them
test/10287332.jpg	three men , one on a ladder , work on a roof 	three ladder , one on a men , work on a roof	three men , one on a on a roof ladder , work	three men , one a on , ladder work on a roof
test/10287332.jpg	people are fixing the roof of a house 	roof are fixing the people of a house	the roof of a house people are fixing	people are fixing the roof of a house
test/10287332.jpg	three men are working on a roof 	three men are working on a roof	three men are working on a roof	three are men a on working roof
test/1039637574.jpg	a bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants 	a bride in a white light pants poses for a relatives with male picture and is being photographed by a man in a cream dress with pink shirt	by a man in a cream dress poses for a picture with a light pink male relatives and pants a bride in is being photographed shirt with white	in bride a pink light a for poses dress a picture with and relatives male is being photographed by a man in cream a shirt with white pants
test/1039637574.jpg	a man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown 	a group in dark colored man photographs a hats of woman wearing light suits and gown standing around a strapless dressed in a men clothing	of men wearing a man in light colored clothing gown photographs a group dark suits and in a strapless a woman dressed hats standing around	in man a light colored clothing a group photographs of wearing men suits and dark hats around standing woman dressed a in strapless a gown
test/1039637574.jpg	a photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats 	a photographer takes a group of a boys of one girl in a pink picture and 10 dress in suits and hats	and 10 boys a picture of hats one girl in a group of in suits and a photographer takes a pink dress	takes a photographer a of picture a of group in one girl pink dress a 10 boys and in and suits hats
test/1039637574.jpg	a man photographs a woman in a pink dress and a throng of men in suits 	a men photographs a suits in a pink woman and a dress of throng in man	and a throng a pink dress a man photographs a woman in suits of men in	a photographs man woman a in pink dress a and a throng men of in suits
test/1039637574.jpg	man taking a photograph of a well dressed group of teens 	photograph taking a man of a well dressed teens of group	well dressed group photograph of a man taking a of teens	taking a man of photograph a well group dressed teens of
test/1043819504.jpg	a group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them 	a backpacks of 11 person in door wear such as ice , winter blocks , people and jackets are standing in beanies paddles outside a gloves made of group skiing while a house in snow of the front seems to be leading them	while a person them skiing jackets , snow paddles outside of ice blocks in front of gloves and backpacks as beanies , winter wear such a house made the door seems to be leading 11 people in are standing in a group of	a group of in people 11 such winter wear beanies , as , skiing jackets gloves backpacks and standing are in snow outside paddles house a made blocks of ice a while person front in of seems door the be to leading them
test/1043819504.jpg	a group of people wearing snowshoes , and dressed for winter hiking , is standing in front of a building that looks like it 's made of blocks of ice 	a people of winter wearing hiking , and dressed for front building , is standing in ice of a snowshoes that looks like it 's made of blocks of group	people wearing snowshoes , is standing a building that 's made of in front of , and dressed looks like it a group of for winter hiking blocks of ice	group of a people snowshoes wearing dressed and , winter for hiking standing is , of in front a that building it looks like of made 's blocks ice of
test/1043819504.jpg	the people are quietly listening while the story of the ice cabin was explained to them 	the story are quietly listening while the ice of the people cabin was explained to them	was explained to the story of the people are quietly listening while the ice cabin them	are people the while quietly listening story the of cabin ice the was explained to them
test/1043819504.jpg	a group of people standing in front of an igloo 	a front of group standing in people of an igloo	igloo a group of front of an people standing in	a of group standing people in front an of igloo
test/1043819504.jpg	several students waiting outside an igloo 	several igloo waiting outside an students	outside an igloo several students waiting	several students waiting outside igloo an
test/1043910339.jpg	a baseball player in red leaps into the air to avoid a player in blue , who is shortly behind him as he catches the ball , while other blue team members look on in the background 	a blue ball in blue air into the baseball to avoid a player in background , who is shortly behind him as he catches the leaps , while red other members player look on in the team	team members look into the air the ball , shortly behind him , who is as he catches player in blue in red leaps background while other blue to avoid a a baseball player on in the	player baseball a leaps in red the into air a to avoid in player blue who , is shortly him behind catches as he ball the , blue while other team members look the on in background
test/1043910339.jpg	a boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him 	a catcher in a blue uniform is attempting to avoid getting out at home boy , while the plate in the red uniform is attempting to catch him	, while the at home plate him is attempting to attempting to catch catcher in the a boy in blue uniform is avoid getting out a red uniform	a boy in a uniform red to attempting is avoid getting out plate at home while the , in catcher the uniform blue is to attempting catch him
test/1043910339.jpg	a baseball player coming into home plate with knee held high and the catcher right in front of him waiting for the ball 	a catcher player coming into ball baseball with front held high and the home right in plate of him waiting for the knee	the ball held high and a baseball player plate with knee coming into home him waiting for the catcher right in front of	baseball player a into home coming with knee plate held high and right the catcher of front in him for waiting ball the
test/1043910339.jpg	a baseball player attempting to score a run before the catcher tags the player out 	a player baseball attempting to score a catcher before the run tags the player out	the catcher tags the player out attempting to score a baseball player a run before	a baseball player score attempting to before a run tags catcher the the player out
test/1043910339.jpg	a baseball catcher trying to tag a base runner in a baseball game 	a baseball catcher trying to tag a base runner in a baseball game	in a baseball a base runner game a baseball catcher trying to tag	a catcher baseball tag trying to base runner a baseball a in game
test/1044798682.jpg	a man wearing a hat and a white shirt is cleaning windows 	a shirt wearing a windows and a white hat is cleaning man	a hat and a white shirt is cleaning windows a man wearing	a man wearing hat a and white shirt a is cleaning windows
test/1044798682.jpg	a man in a white shirt stands high up on scaffolding	a shirt in a white man stands high up on scaffolding	on scaffolding stands high up a man in a white shirt	a in man a shirt white stands high up on scaffolding
test/1044798682.jpg	a man stands on boards on top of a huge ladder 	a ladder stands on man on boards of a huge top	top of a a man stands huge ladder on boards on	a stands man on on boards of a top ladder huge
test/1044798682.jpg	man works on top of scaffolding 	man works on top of scaffolding	man works on top of scaffolding	on works man scaffolding of top
test/1044798682.jpg	a guy works on a building 	a building works on a guy	on a building a guy works	guy a works building on a
test/1071201387.jpg	a man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover 	a bicycles wearing a reflective pamphlets sits on the sidewalk and holds up vest with cover on the man	a reflective vest up pamphlets with sidewalk and holds sits on the bicycles on the cover a man wearing	a wearing man a reflective vest sits the on holds and sidewalk with pamphlets up bicycles the on cover
test/1071201387.jpg	man in bright yellow vest displays bicycle safety information on street 	bicycle in yellow bright safety street information man vest on displays	bicycle safety information yellow vest displays man in bright on street	in man bright yellow displays vest safety information bicycle on street
test/1071201387.jpg	a man and woman talking are interrupted and a man covers his face 	a face and man talking are interrupted and a man covers his woman	woman talking are face interrupted and a man covers his a man and	and a man woman talking are a interrupted and covers his man face
test/1071201387.jpg	a man in a vest is sitting in a chair and holding magazines 	a man in a magazines is sitting in a chair and holding vest	chair and holding magazines sitting in a a vest is a man in	a in man vest is a a in sitting holding and chair magazines
test/1071201387.jpg	a construction worker holds a sign about bicycling 	a construction sign holds a worker about bicycling	a construction worker about bicycling holds a sign	a construction worker holds sign a about bicycling
test/107969134.jpg	a mother decides to take her child on a piggyback ride outside their apartment complex 	a ride decides to take her child on a complex apartment outside their piggyback mother	a mother decides child on a piggyback ride outside to take her their apartment complex	a mother decides her take to on child a ride outside piggyback apartment complex their
test/107969134.jpg	a baby boy in a blue and white striped shirt is sitting on his mother 's shoulders 	a mother shirt in a blue and striped white baby is sitting on his boy 's shoulders	in a blue and white striped 's shoulders shirt is sitting a baby boy on his mother	baby a boy in blue a and striped white shirt is sitting his mother on 's shoulders
test/107969134.jpg	a mother and her young song enjoying a beautiful day outside 	a song and her beautiful mother enjoying a young day outside	enjoying a beautiful her young song day outside a mother and	and a mother her song young enjoying a beautiful day outside
test/107969134.jpg	a young woman is giving a baby a ride on her shoulders 	a young shoulders is giving a ride a woman on her baby	is giving a a young woman on her shoulders baby a ride	a woman young giving is a a ride baby her on shoulders
test/107969134.jpg	a woman gives a small child a piggyback ride 	a woman gives a small child a ride piggyback	a piggyback ride a small child a woman gives	a gives woman child small a a piggyback ride
test/1080230428.jpg	a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game 	a professional game trunks in red volleyball tries to block the player of the opposing player during a male volleyball shot	player in red trunks tries to player during a of the opposing a male volleyball professional volleyball game block the shot	a volleyball male red player in trunks tries to block the shot opposing of the a during player game professional volleyball
test/1080230428.jpg	men playing volleyball , with one player missing the ball but hands still in the air 	men playing volleyball , with one player missing the air but ball still in the hands	air , with one men playing volleyball player missing the still in the ball but hands	men playing volleyball one with , missing player the hands but ball in still the air
test/1080230428.jpg	a group of spectators watch a men 's sand volleyball game 	a sand of group watch a spectators 's men volleyball game	spectators watch a men 's sand volleyball game a group of	of a group a watch spectators sand 's men game volleyball
test/1080230428.jpg	volleyball players compete on a sunny day at the beach 	volleyball day compete on a sunny beach at the players	volleyball players compete beach on a sunny day at the	compete volleyball players on a sunny day at the beach
test/1080230428.jpg	men playing volleyball in the sand 	sand playing men in the volleyball	in the sand men playing volleyball	men playing volleyball sand the in
