,image,caption,neg_image,objects
0,images/0000/0000000.png,a very typical bus station,images/0000/0000072.png,"[('bus', 0.9249533414840698), ('bus', 0.9168512225151062), ('person', 0.9123325347900391), ('bus', 0.8916858434677124), ('bus', 0.8783490061759949), ('person', 0.869663655757904), ('bus', 0.8549792170524597), ('bus', 0.8528011441230774), ('person', 0.848677396774292), ('person', 0.8372308015823364), ('person', 0.8282516598701477), ('bus', 0.8266876339912415), ('person', 0.7838085889816284), ('person', 0.7645657658576965), ('bus', 0.6910225749015808), ('bus', 0.6465078592300415), ('person', 0.6446511745452881), ('person', 0.5461503267288208), ('person', 0.45699626207351685), ('bus', 0.45222142338752747), ('bus', 0.431621253490448), ('bus', 0.4105302095413208), ('bus', 0.4072863757610321), ('bus', 0.38519197702407837), ('truck', 0.35265493392944336), ('person', 0.33852145075798035), ('person', 0.33666282892227173), ('person', 0.3112523555755615), ('car', 0.2565760910511017)]"
1,images/0000/0000001.png,sierra looked stunning in this top and this skirt while performing with person at their former university,images/0000/0000014.png,"[('person', 0.9356838464736938), ('person', 0.8803568482398987), ('person', 0.529818594455719), ('person', 0.3885112404823303), ('bicycle', 0.2891078591346741)]"
2,images/0000/0000002.png,young confused girl standing in front of a wardrobe,images/0000/0000042.png,"[('person', 0.9259958863258362), ('backpack', 0.4217553734779358), ('handbag', 0.34386980533599854), ('backpack', 0.33457353711128235), ('handbag', 0.31690746545791626), ('backpack', 0.2939590513706207), ('backpack', 0.27172884345054626), ('potted plant', 0.25210022926330566)]"
3,images/0000/0000003.png,interior design of modern living room with fireplace in a new house,,[]
4,images/0000/0000004.png,cybernetic scene isolated on white background .,images/0000/0000047.png,"[('person', 0.2727161943912506)]"
5,images/0000/0000005.png,gangsta rap artist attends sports team vs playoff game in the borough .,images/0000/0000096.png,"[('chair', 0.8061253428459167), ('person', 0.7095005512237549), ('bottle', 0.6850281953811646), ('bottle', 0.6242378354072571), ('cup', 0.5599302649497986), ('person', 0.5303617119789124), ('person', 0.4900238811969757), ('person', 0.4890395402908325), ('suitcase', 0.4468506872653961), ('bottle', 0.3669113218784332), ('suitcase', 0.28391358256340027)]"
6,images/0000/0000006.png,the jetty : different types of plants to establish a variety of ecosystems .,images/0000/0000001.png,"[('person', 0.7426761388778687), ('person', 0.7351555824279785), ('person', 0.6292683482170105), ('person', 0.5995054244995117), ('person', 0.5977857112884521), ('person', 0.5063484311103821), ('person', 0.36520078778266907), ('bicycle', 0.33936452865600586), ('person', 0.27432459592819214)]"
7,images/0000/0000007.png,traditional ornamental floral paisley bandanna .,,[]
8,images/0000/0000008.png,# of the sports team skates against sports team during their game .,images/0000/0000065.png,"[('person', 0.7528740167617798), ('person', 0.7082536220550537), ('person', 0.7027389407157898), ('chair', 0.6933786273002625), ('person', 0.6891067624092102), ('person', 0.6863921284675598), ('person', 0.5631754994392395), ('baseball bat', 0.5256165266036987), ('person', 0.5043114423751831), ('baseball glove', 0.40971362590789795), ('baseball glove', 0.2904075086116791), ('person', 0.276474267244339)]"
9,images/0000/0000009.png,a flight was traveling when the animal got free on tuesday night,images/0000/0000036.png,"[('airplane', 0.9007382392883301), ('truck', 0.6641938090324402), ('car', 0.6598214507102966), ('truck', 0.6289767622947693), ('car', 0.5508722066879272), ('car', 0.5120819807052612), ('truck', 0.46520113945007324), ('truck', 0.4143312871456146), ('car', 0.34799814224243164), ('car', 0.33671173453330994), ('car', 0.33313247561454773), ('car', 0.3169998526573181), ('car', 0.30114907026290894), ('truck', 0.27451232075691223), ('car', 0.2620651423931122), ('car', 0.2536890208721161)]"
10,images/0000/0000010.png,actor arrives for the premiere of the film,images/0000/0000099.png,"[('person', 0.5526567697525024)]"
11,images/0000/0000011.png,celebrities start decorating for the christmas season lifestyle,images/0000/0000083.png,"[('couch', 0.8616296052932739), ('person', 0.8466248512268066), ('person', 0.6972082257270813), ('person', 0.664322018623352), ('chair', 0.45586714148521423), ('person', 0.39508968591690063), ('chair', 0.3841265141963959)]"
12,images/0000/0000012.png,functions of government : 1 . form a more perfect union,,[]
13,images/0000/0000013.png,actor attends the premiere of season,images/0000/0000072.png,"[('person', 0.6532297730445862)]"
14,images/0000/0000014.png,all shots by by person and rider shots can be found on his website .,images/0000/0000001.png,"[('person', 0.855677604675293), ('person', 0.852276623249054), ('person', 0.8363914489746094), ('person', 0.7990487217903137), ('person', 0.7715715765953064), ('person', 0.759768545627594), ('bicycle', 0.7017172574996948), ('bicycle', 0.6835455298423767), ('person', 0.6487923264503479), ('bicycle', 0.6208393573760986), ('bicycle', 0.5773221254348755), ('bicycle', 0.5492032766342163), ('bicycle', 0.5462188720703125), ('bicycle', 0.5139598846435547), ('bicycle', 0.5009819269180298), ('person', 0.45744845271110535), ('bicycle', 0.45630156993865967), ('person', 0.423109769821167), ('person', 0.30941519141197205)]"
15,images/0000/0000015.png,high angle view of a businessman lying on a table and singing,images/0000/0000065.png,"[('laptop', 0.8527252078056335), ('person', 0.7183956503868103)]"
16,images/0000/0000016.png,this is real fast food !,,"[('orange', 0.8007069826126099), ('sandwich', 0.6243537664413452), ('orange', 0.5313935875892639)]"
17,images/0000/0000017.png,safe deposit with money around it on a white background photo,,[]
18,images/0000/0000018.png,dunes lay the blueprint for the back nine .,,[]
19,images/0000/0000019.png,portrait of a smiling woman stroking her dog lying on couch,images/0000/0000021.png,"[('dog', 0.6391364932060242), ('person', 0.5750691294670105), ('dog', 0.3206692039966583), ('bed', 0.26835253834724426)]"
20,images/0000/0000020.png,young business woman on a bench,images/0000/0000015.png,"[('person', 0.826108992099762), ('laptop', 0.5179613828659058)]"
21,images/0000/0000021.png,american football player looks downfield during the second half of a football game against sports team,images/0000/0000099.png,"[('person', 0.8646537661552429), ('person', 0.8639746904373169), ('person', 0.7601390480995178), ('person', 0.7218194603919983), ('sports ball', 0.6981518268585205), ('person', 0.5795959830284119), ('person', 0.44813284277915955), ('person', 0.29645293951034546), ('person', 0.2816697359085083), ('person', 0.26728489995002747)]"
22,images/0000/0000022.png,... and local people to deliver a new bridge,,[]
23,images/0000/0000023.png,actor arrives to the premiere,images/0000/0000075.png,"[('person', 0.7366674542427063), ('clock', 0.2692117989063263)]"
